Code,Specialty,Keywords,Ghi chú,Ready ENV,Status
1,SP001,bác sĩ gia đình,"đau bụng, sốt, ho, ói, nôn, chóng mặt, đau khớp, mất ngủ, lo âu, khó thở, tăng huyết áp, giảm huyết áp, cao huyết áp, đau họng, đau khớp, mỏi vai gáy, mỏi vai, tiểu đường, mệt, cảm cúm, đường huyết cao, đái tháo đường, ho, đau bụng, nôn, ói, đau đầu, huyết áp tăng, chóng mặt, huyết áp cao, rối loạn tiêu hoá, rối loạn tiền đình, tiểu đường , bệnh tuyến giáp, viêm phế quản, phân lỏng, vàng da", ,"PROD, STAGING, INT"
2,SP002,da liễu,"ngứa, nổi sẩn, da dày sừng, bong vảy, mụn nước, da bóng nước, mụn trứng cá, ngứa da, ngứa âm đạo, vảy nến, phát ban, nổi bóng nước, mụn, nám, mụn cóc, phát ban, dị ứng, loét, áp-xe, hoại tử, nổi nốt, đỏ da, sạm da, viêm da, nấm da, nấm móng, sẩn da, nổi mề đay, nhọt, ghẻ, sẹo, sẹo phỏng, mụn ruồi, dị ứng biểu hiện trên da, khô da, da nứt nẻ, da chàm, dị ứng mỹ phẩm", ,"PROD, STAGING, INT"
3,SP003,dinh dưỡng,"béo, gầy, mập, nhẹ cân, thiếu cân, ốm, tăng cân, suy dinh dưỡng, béo phì, thực phẩm bổ sung, biếng ăn / lười ăn, thừa cân, dư cân, detox, thải độc, ăn kiêng, dinh dưỡng cho người khỏe, dinh dưỡng cho người bệnh, dinh dưỡng cho trẻ em, dinh dưỡng cho sản phụ", ,"PROD, STAGING, INT"
4,SP004,hô hấp,"ho, bệnh phổi, bệnh phổi tắc nghẽn mãn tính, lao,", ,"PROD, STAGING, INT"
5,SP005,nhi,"sốt nhẹ, ho, táo bón, sổ mũi, rối loạn tiêu hóa, cảm cúm, sưng bìu, đau bìu, tiêu chảy, đau bụng, nôn ói, dị ứng da, vàng da sơ sinh, chảy máu cam", ,"PROD, STAGING, INT"
6,SP006,nội tiết,"đái tháo đường, tiểu đường, đường huyết cao, đường huyết thấp, hạ đường huyết, bệnh tuyến giáp", ,"PROD, STAGING, INT"
7,SP007,nội tiêu hóa,"đau bụng, tiêu chảy, nôn, táo bón, đầy hơi, viêm dạ dày, loét dạ dày, viêm gan, viêm gan siêu vi, viêm gan siêu vi B, viêm gan siêu vi C, sốt, ho, ói, nôn, vàng da", ,"PROD, STAGING, INT"
8,SP008,nội tổng quát,"đau bụng, sốt, ho, ói, nôn, chóng mặt, đau khớp, mất ngủ, lo âu, khó thở, tăng huyết áp, giảm huyết áp, cao huyết áp, đau họng, đau khớp, mỏi vai gáy, mỏi vai, tiểu đường, mệt, cảm cúm, đường huyết cao, đái tháo đường, ho, đau bụng, nôn, ói, đau đầu, huyết áp tăng, chóng mặt, huyết áp cao, rối loạn tiêu hoá, rối loạn tiền đình, tiểu đường , bệnh tuyến giáp, viêm phế quản, phân lỏng", ,"PROD, STAGING, INT"
9,SP009,tim mạch,"chóng mặt, khó thở, tăng huyết áp, giảm huyết áp, cao huyết áp", ,"PROD, STAGING, INT"
10,SP010,tâm thần,"lo âu, mất ngủ, buồn vô cớ, trầm cảm, lo âu, bồn chồn, kích động, nóng tính, nóng tính, muốn tự tử", ,"PROD, STAGING, INT"
11,SP011,thần kinh,"rối lọan giấc ngủ, rối loạn lo âu, đột quỵ đã ổn định, thần kinh ", ,"PROD, STAGING, INT"
12,SP012,ung bướu,"ung thư, nghi ngờ ung thư, khối u bất thường, tầm soát ung thư", ,"PROD, STAGING, INT"
13,SP013,sản Phụ Khoa,"mang thai, có thai, bầu, nghén, hậu sản, tắc sữa, u xơ tử cung, u nang buồng trứng, triệt sản, hiếm muộn, mong có con, sản phụ khoa", ,"PROD, STAGING, INT"
14,SP014,răng Hàm Mặt,"đau răng, sưng nướu, viêm nướu, nha chu, sâu răng, chảy máu răng, răng khôn, răng sữa", ,"PROD, STAGING, INT"
15,SP015,mắt,"đỏ mắt, đau mắt, ngứa mắt, cận thị, loạn thị, viễn thị, mờ mắt, u mắt, chảy nước mắt, khô mắt, tật khúc xạ, viêm kết mạc", ,"PROD, STAGING, INT"
16,SP019,huyết học,"chảy máu cam, chảy máu bất thường, vết bầm da, tan máu bẩm sinh, Thalassemia", ,"PROD, STAGING, INT"
17,SP020,ngoại khoa,"gãy xương, chấn thương bụng, té ngã, hậu phẫu, chăm sóc sau mổ", ,"PROD, STAGING, INT"
18,SP021,tai mũi họng,"đau tai, chảy mủ tai, ngứa tai, viêm xoang, sổ mũi, ngứa mũi, chảy nước mũi, dị ứng mũi, ho, đau họng, vướng họng, rát",(UPDATE 16/3),PROD
19,SP022,y học cổ truyền,"nhức mỏi, yếu liệt sau chấn thương, yếu liệt sau tai biến ",(UPDATE 16/3),PROD
20,SP023,vật lý trị liệu,"vật lý trị liệu, yếu liệt sau chấn thương, yếu liệt sau tai biến ","(UPDATE 16/3, ÁP DỤNG CHO CÁC BÁC SĨ CÓ CHUYÊN MÔN PHỤC HỒI CHỨC NĂNG)",PROD
